class;Subclass;order;family;genus;species;common_name;litter_or_clutch_size_n;adult_body_mass_g;weaning_weight_g;female_body_mass_g;Order;Family;Name
Mammalia;Eutheria;Rodentia;Cricetidae;Oryzomys;megacephalus;Azara's Broad-headed Oryzomys;4.02;50.825;34.99;80;RODENTIA;CRICETIDAE;Oryzomys_megacephalus_CRICETIDAE_RODENTIA
Mammalia;Eutheria;Rodentia;Cricetidae;Oryzomys;nitidus;Elegant Oryzomys;4.02;51.63;34.99;80;RODENTIA;CRICETIDAE;Oryzomys_nitidus_CRICETIDAE_RODENTIA
Mammalia;Eutheria;Rodentia;Cricetidae;Oryzomys;perenensis;Western Amazonian Oryzomys;4.02;50.825;34.99;80;RODENTIA;CRICETIDAE;Oryzomys_perenensis_CRICETIDAE_RODENTIA
Mammalia;Eutheria;Rodentia;Cricetidae;Oryzomys;maracajuensis;Maracaju Oryzomys;4.585;49.91;34.99;80;RODENTIA;CRICETIDAE;Oryzomys_maracajuensis_CRICETIDAE_RODENTIA
Mammalia;Eutheria;Rodentia;Cricetidae;Oryzomys;marinhus;Marinho's Oryzomys;4.585;49.91;34.99;80;RODENTIA;CRICETIDAE;Oryzomys_marinhus_CRICETIDAE_RODENTIA
Mammalia;Eutheria;Rodentia;Cricetidae;Oryzomys;scotti;Lindbergh's Oryzomys;4.585;49.91;34.99;80;RODENTIA;CRICETIDAE;Oryzomys_scotti_CRICETIDAE_RODENTIA
Mammalia;Eutheria;Rodentia;Cricetidae;Oryzomys;subflavus;Flavescent Oryzomys;4.585;49.91;34.99;80;RODENTIA;CRICETIDAE;Oryzomys_subflavus_CRICETIDAE_RODENTIA
Mammalia;Eutheria;Rodentia;Cricetidae;Nyctomys;sumichrasti;Sumichrast's Vesper Rat;2;53.33;40;44.9;RODENTIA;CRICETIDAE;Nyctomys_sumichrasti_CRICETIDAE_RODENTIA
Mammalia;Eutheria;Rodentia;Cricetidae;Neotoma;magister;Allegheny Woodrat;2.15;208.59;64.3;337;RODENTIA;CRICETIDAE;Neotoma_magister_CRICETIDAE_RODENTIA
Mammalia;Eutheria;Eulipotyphla;Soricidae;Sorex;leucogaster;Paramushir Shrew;6.355;4.36;3.5;5.1;EULIPOTYPHLA;SORICIDAE;Sorex_leucogaster_SORICIDAE_EULIPOTYPHLA
Mammalia;Eutheria;Eulipotyphla;Soricidae;Sorex;camtschatica;Kamchatka Shrew;6.5;5.1;3.5;5.1;EULIPOTYPHLA;SORICIDAE;Sorex_camtschatica_SORICIDAE_EULIPOTYPHLA
Mammalia;Eutheria;Eulipotyphla;Soricidae;Sorex;cinereus;Cinereus Shrew;6.5;5.1;3.5;5.1;EULIPOTYPHLA;SORICIDAE;Sorex_cinereus_SORICIDAE_EULIPOTYPHLA
Mammalia;Eutheria;Eulipotyphla;Soricidae;Sorex;jacksoni;St. Lawrence Island Shrew;6.5;5.2;3.5;5.1;EULIPOTYPHLA;SORICIDAE;Sorex_jacksoni_SORICIDAE_EULIPOTYPHLA
Mammalia;Eutheria;Eulipotyphla;Soricidae;Sorex;portenkoi;Portenko's Shrew;6.5;5.2;3.5;5.1;EULIPOTYPHLA;SORICIDAE;Sorex_portenkoi_SORICIDAE_EULIPOTYPHLA
Mammalia;Eutheria;Eulipotyphla;Soricidae;Sorex;ugyunak;Barren Ground Shrew;6.5;5.1;3.5;5.1;EULIPOTYPHLA;SORICIDAE;Sorex_ugyunak_SORICIDAE_EULIPOTYPHLA
Mammalia;Eutheria;Eulipotyphla;Soricidae;Sorex;haydeni;Prairie Shrew;6.57;5;3.5;5.1;EULIPOTYPHLA;SORICIDAE;Sorex_haydeni_SORICIDAE_EULIPOTYPHLA
Mammalia;Eutheria;Eulipotyphla;Soricidae;Suncus;montanus;Asian Highland Shrew;3.05;45.87;29.61;52.75;EULIPOTYPHLA;SORICIDAE;Suncus_montanus_SORICIDAE_EULIPOTYPHLA
Mammalia;Eutheria;Eulipotyphla;Soricidae;Suncus;murinus;Asian House Shrew;3.05;45.87;29.61;52.75;EULIPOTYPHLA;SORICIDAE;Suncus_murinus_SORICIDAE_EULIPOTYPHLA
Mammalia;Eutheria;Eulipotyphla;Soricidae;Suncus;zeylanicus;Jungle Shrew;3.05;45.87;29.61;52.75;EULIPOTYPHLA;SORICIDAE;Suncus_zeylanicus_SORICIDAE_EULIPOTYPHLA
