Order;Number
Monotremata​;5
Didelphimorphia​;111
Dasyuromorphia​;78
Peramelemorphia​;23
Diprotodontia​;155
Afrosoricida​;55
Macroscelidea​;20
Tubulidentata​;1
Hyracoidea​;5
Proboscidea​;3
Sirenia​;5
Cingulata​;20
Pilosa​;9
Scandentia​;24
Dermoptera​;2
Primates​;518
Rodentia​;2552
Lagomorpha​;98
​Eulipotyphla;527
Chiroptera​;1386
Carnivora​;305
Perissodactyla​;21
​Cetartiodactyla​;551
